# Idioms by Language

This is a extensive (though inevitably incomplete) list. I've tried to span as many languages and idioms as I can recall.

---

## English

Break a leg | English
배보다 배꼽이 더 크다 (baeboda baekkop-i deo keuda) | Korean
콩 심은데 콩 나고 팥 심은데 팥 난다 (kong simeunde kong nago pat simeunde pat nanda) | Korean
가랑비에 옷 젖는다 (garangbie ot jeojneunda) | Korean

---

## Russian

Вешать лапшу на уши (veshat' lapshu na ushi) | Russian
Когда рак на горе свистнет (kogda rak na gore svistnet) | Russian
Медведь на ухо наступил (medved' na ukho nastupil) | Russian
Не в своей тарелке (ne v svoyey tarelke) | Russian
Водить за нос (vodit' za nos) | Russian
Делать из мухи слона (delat' iz mukhi slona) | Russian
Как с гуся вода (kak s gusya voda) | Russian
Душа в пятки ушла (dusha v pyatki ushla) | Russian
Без труда не вытащишь и рыбку из пруда (bez truda ne vytashchish' i rybku iz pruda) | Russian
Волков бояться — в лес не ходить (volkov boyat'sya — v les ne khodit') | Russian
Дарёному коню в зубы не смотрят (daryonomu konyu v zuby ne smotryat) | Russian
За двумя зайцами погонишься — ни одного не поймаешь (za dvumya zaytsami pogonish'sya — ni odnogo ne poymayesh') | Russian
Как две капли воды (kak dve kapli vody) | Russian
Куда ни кинь — всюду клин (kuda ni kin' — vsyudu klin) | Russian
Лучше поздно, чем никогда (luchshe pozdno, chem nikogda) | Russian
На безрыбье и рак рыба (na bezryb'ye i rak ryba) | Russian
Не всё то золото, что блестит (ne vsyo to zoloto, chto blestit) | Russian
Один в поле не воин (odin v pole ne voin) | Russian
Работа не волк, в лес не убежит (rabota ne volk, v les ne ubezhit) | Russian
Семь раз отмерь, один раз отрежь (sem' raz otmer', odin raz otrezh') | Russian
Тише едешь — дальше будешь (tishe yedesh' — dal'she budesh') | Russian
Утро вечера мудренее (utro vechera mudrenee) | Russian
Яблоко от яблони недалеко падает (yabloko ot yabloni nedaleko padayet) | Russian
Первый блин комом (pervyy blin komom) | Russian
Слово не воробей, вылетит — не поймаешь (slovo ne vorobey, vyletit — ne poymayesh') | Russian
Старый друг лучше новых двух (staryy drug luchshe novykh dvukh) | Russian
Цыплят по осени считают (tsyplyat po oseni schitayut) | Russian
В тихом омуте черти водятся (v tikhom omute cherti vodyatsya) | Russian
Глаза боятся, а руки делают (glaza boyatsya, a ruki delayut) | Russian
Кашу маслом не испортишь (kashu maslom ne isportish') | Russian
Лить воду на мельницу (lit' vodu na mel'nitsu) | Russian
На воре шапка горит (na vore shapka gorit) | Russian
Не рой другому яму — сам в неё попадёшь (ne roy drugomu yamu — sam v neyo popadyosh') | Russian
Сесть в лужу (sest' v luzhu) | Russian
Ум хорошо, а два лучше (um khorosho, a dva luchshe) | Russian

---

## Arabic

اللي فات مات (illi fat mat) | Arabic
يد واحدة ما تصفق (yad wahda ma tusaffiq) | Arabic
الحيطان ليها ودان (il-hitan liha widan) | Arabic
على قد لحافك مد رجليك (ala add lahafak mudd rijlayk) | Arabic
اصبر تنل (isbir tanal) | Arabic
الصبر مفتاح الفرج (as-sabr miftah al-faraj) | Arabic
القرد في عين أمه غزال (al-qird fi ayn ummihi ghazal) | Arabic
من حفر حفرة لأخيه وقع فيها (man hafara hufratan li-akhihi waqa'a fiha) | Arabic
اللي على راسه بطحة يحسس عليها (illi ala rasu batḥa yiḥassis alayha) | Arabic
إذا هبت رياحك فاغتنمها (idha habbat riyahuka fa-ghtanimha) | Arabic
العين بصيرة واليد قصيرة (al-ayn basira wal-yad qasira) | Arabic
المكتوب على الجبين لازم تشوفه العين (al-maktub ala al-jabin lazim tshufhu al-ayn) | Arabic
اتق شر من أحسنت إليه (ittaqi sharra man ahsanta ilayhi) | Arabic
الحاجة أم الاختراع (al-haja umm al-ikhtira) | Arabic
خذ الحكمة من أفواه المجانين (khudh al-hikma min afwah al-majanin) | Arabic
رب أخ لك لم تلده أمك (rubba akhin laka lam talidhu ummuka) | Arabic
عصفور في اليد خير من عشرة على الشجرة (usfur fil yad khayr min ashara ala al-shajara) | Arabic
في التأني السلامة وفي العجلة الندامة (fil ta'anni al-salama wa fil ajala al-nadama) | Arabic
قطرة فوق قطرة بحر (qatra fawqa qatra bahr) | Arabic
لسانك حصانك (lisanak husanak) | Arabic
من جد وجد (man jadda wajad) | Arabic
يا جبل ما يهزك ريح (ya jabal ma yihizzak rih) | Arabic

---

## Hindi

दाल में कुछ काला है (daal mein kuch kaala hai) | Hindi
अंधों में काना राजा (andhon mein kaana raja) | Hindi
ऊंट के मुंह में जीरा (oont ke munh mein jeera) | Hindi
घर की मुर्गी दाल बराबर (ghar ki murgi daal barabar) | Hindi
नाच न जाने आंगन टेढ़ा (naach na jaane aangan tedha) | Hindi
बंदर क्या जाने अदरक का स्वाद (bandar kya jaane adrak ka swaad) | Hindi
अब पछताए होत क्या जब चिड़िया चुग गई खेत (ab pachhtaaye hot kya jab chidiya chug gayi khet) | Hindi
एक पंथ दो काज (ek panth do kaaj) | Hindi
जैसा देश वैसा भेष (jaisa desh vaisa bhesh) | Hindi
खोदा पहाड़ निकला चूहा (khoda pahad nikla chuha) | Hindi
दूर के ढोल सुहावने लगते हैं (door ke dhol suhaavne lagte hain) | Hindi
नौ दो ग्यारह होना (nau do gyaarah hona) | Hindi
बिल्ली के भाग्य से छींका टूटा (billi ke bhagya se chhinka toota) | Hindi
लोहा लोहे को काटता है (loha lohe ko kaatta hai) | Hindi
अपना हाथ जगन्नाथ (apna haath jagannath) | Hindi
जल में रहकर मगर से बैर (jal mein rehkar magar se bair) | Hindi
उलटा चोर कोतवाल को डांटे (ulta chor kotwal ko dante) | Hindi
चोर की दाढ़ी में तिनका (chor ki daadhi mein tinka) | Hindi
आम के आम गुठलियों के दाम (aam ke aam guthliyon ke daam) | Hindi
जिसकी लाठी उसकी भैंस (jiski lathi uski bhains) | Hindi
ना रहेगा बांस ना बजेगी बांसुरी (na rahega baans na bajegi bansuri) | Hindi
एक अनार सौ बीमार (ek anaar sau bimaar) | Hindi
थूक कर चाटना (thook kar chaatna) | Hindi
हाथ कंगन को आरसी क्या (haath kangan ko aarsi kya) | Hindi

---

## Turkish

Ayağını yorganına göre uzat | Turkish
Bir elin nesi var, iki elin sesi var | Turkish
Damlaya damlaya göl olur | Turkish
Bal tutan parmağını yalar | Turkish
Ağaç yaşken eğilir | Turkish
Bir taşla iki kuş vurmak | Turkish
Deveye hendek atlatmak | Turkish
Dost acı söyler | Turkish
El elden üstündür | Turkish
Gülme komşuna gelir başına | Turkish
Her işin başı sağlık | Turkish
İğneyi kendine çuvaldızı başkasına batır | Turkish
Körle yatan şaşı kalkar | Turkish
Nerede hareket orada bereket | Turkish
Sakla samanı gelir zamanı | Turkish
Su uyur düşman uyumaz | Turkish
Taşıma su ile değirmen dönmez | Turkish
Üzüm üzüme baka baka kararır | Turkish
Yuvarlanan taş yosun tutmaz | Turkish
Ağlamayan çocuğa meme verilmez | Turkish
Armut piş ağzıma düş | Turkish
At ölür meydan kalır, yiğit ölür şan kalır | Turkish
Bakarsan bağ olur, bakmazsan dağ olur | Turkish
Bedava sirke baldan tatlıdır | Turkish
Bugünün işini yarına bırakma | Turkish
Davulun sesi uzaktan hoş gelir | Turkish
Göz görmeyince gönül katlanır | Turkish
İşleyen demir ışıldar | Turkish
Korkak bezirgan ne kâr eder ne zarar | Turkish
Mum dibine ışık vermez | Turkish

---

## Dutch

Nu komt de aap uit de mouw | Dutch
Met de deur in huis vallen | Dutch
Iets voor een appel en een ei kopen | Dutch
De kat uit de boom kijken | Dutch
Het regent pijpenstelen | Dutch
De knuppel in het hoenderhok gooien | Dutch
Een kat in het nauw maakt rare sprongen | Dutch
Iemand een oor aannaaien | Dutch
Van een mug een olifant maken | Dutch
Als de kat van huis is, dansen de muizen | Dutch
De koe bij de horens vatten | Dutch
Iets onder de knie hebben | Dutch
Met de kippen op stok gaan | Dutch
Op twee gedachten hinken | Dutch
Wie het laatst lacht, lacht het best | Dutch
Zo gezegd, zo gedaan | Dutch
De appel valt niet ver van de boom | Dutch
Een blauwtje lopen | Dutch
Hoge bomen vangen veel wind | Dutch
Oost west, thuis best | Dutch
Wie een kuil graaft voor een ander, valt er zelf in | Dutch
Wie boter op zijn hoofd heeft, moet uit de zon blijven | Dutch
Alle wegen leiden naar Rome | Dutch
Beter laat dan nooit | Dutch
Elk nadeel heeft zijn voordeel | Dutch
Geen haar op mijn hoofd die eraan denkt | Dutch

---

## Swedish

Att glida in på en räkmacka | Swedish
Det finns ingen ko på isen | Swedish
Att lägga lök på laxen | Swedish
Att kasta pärlor för svin | Swedish
Den som gapar efter mycket mister ofta hela stycket | Swedish
Att ha en räv bakom örat | Swedish
Bättre sent än aldrig | Swedish
Det droppar på stenen tills den nöts ut | Swedish
Att inte se skogen för alla träd | Swedish
Smaken är som baken | Swedish
Morgonstund har guld i mund | Swedish
Att slå två flugor i en smäll | Swedish
Borta bra men hemma bäst | Swedish
Den som gräver en grop åt andra faller ofta själv däri | Swedish
Att ta tjuren vid hornen | Swedish
Skrattar bäst som skrattar sist | Swedish
Äpplet faller inte långt från trädet | Swedish
Att ha myror i byxorna | Swedish

---

## Norwegian

Å ha bein i nesa | Norwegian
Å slå to fluer i en smekk | Norwegian
Borte bra men hjemme best | Norwegian
Den som ler sist, ler best | Norwegian
Å ta tyren ved hornene | Norwegian
Det er ikke gull alt som glimrer | Norwegian
Å kaste perler for svin | Norwegian
Bedre sent enn aldri | Norwegian
Eplet faller ikke langt fra stammen | Norwegian
Morgenstund har gull i munn | Norwegian
Å ha skjeletter i skapet | Norwegian

---

## Danish

At slå to fluer med ét smæk | Danish
Der er ingen ko på isen | Danish
At købe katten i sækken | Danish
Æblet falder ikke langt fra stammen | Danish
Bedre sent end aldrig | Danish
Den der graver en grav for andre, falder selv deri | Danish
At stikke hovedet i busken | Danish
Morgenstund har guld i mund | Danish
At tage tyren ved hornene | Danish
Det er ikke alt guld der glimrer | Danish

---

## Finnish

Ei kannata myydä nahkaa ennen kuin karhu on kaadettu | Finnish
Hiljaa hyvää tulee | Finnish
Jokainen on oman onnensa seppä | Finnish
Kaksi kärpästä yhdellä iskulla | Finnish
Ei omena kauas puusta putoa | Finnish
Parempi myöhään kuin ei milloinkaan | Finnish
Ken kuuseen kurkottaa, se katajaan kapsahtaa | Finnish
Tyhjä tynnyri kolisee eniten | Finnish
Ei ole koiraa karvoihin katsominen | Finnish
Sillä sipuli silmässä, joka sipulia kuorii | Finnish

---

## Polish

Nie mój cyrk, nie moje małpy | Polish
Gdzie raki zimują | Polish
Mieć muchy w nosie | Polish
Bułka z masłem | Polish
Dać komuś kosza | Polish
Lać krokodyle łzy | Polish
Mieć węża w kieszeni | Polish
Niedaleko pada jabłko od jabłoni | Polish
Nosić sowy do Atenu | Polish
Obiecywać gruszki na wierzbie | Polish
Robić z igły widły | Polish
Siedzieć jak na szpilkach | Polish
Tonący brzytwy się chwyta | Polish
Wziąć nogi za pas | Polish
Złapać byka za rogi | Polish
Lepiej późno niż wcale | Polish
Co dwie głowy to nie jedna | Polish
Kto pod kim dołki kopie, sam w nie wpada | Polish
Nie chwal dnia przed zachodem słońca | Polish
Nie wszystko złoto co się świeci | Polish
Gdzie kucharek sześć, tam nie ma co jeść | Polish
Kuj żelazo póki gorące | Polish
Lepszy wróbel w garści niż gołąb na dachu | Polish

---

## Czech

Být v čokoládě | Czech
Házet perly sviním | Czech
Jablko nepadá daleko od stromu | Czech
Kdo jinému jámu kopá, sám do ní padá | Czech
Lépe pozdě než nikdy | Czech
Lít olej do ohně | Czech
Mluviti stříbro, mlčeti zlato | Czech
Není všechno zlato, co se třpytí | Czech
Ráno moudřejší večera | Czech
Zabít dvě mouchy jednou ranou | Czech
Kam vítr, tam plášť | Czech
Koupit zajíce v pytli | Czech
Nosit dříví do lesa | Czech
Pálí ho to pod nohama | Czech

---

## Greek

Μου βγήκε η ψυχή (mou vgike i psychi) | Greek
Βγάζω το φίδι από την τρύπα (vgazo to fidi apo tin trypa) | Greek
Ένα χελιδόνι δεν φέρνει την άνοιξη (ena chelidoni den fernei tin anoixi) | Greek
Κάλλιο αργά παρά ποτέ (kallio arga para pote) | Greek
Μη βάζεις τον κάρο μπροστά από τ' άλογο (mi vazeis ton karo brosta apo t'alogo) | Greek
Ό,τι λάμπει δεν είναι χρυσός (oti lampei den einai chrysos) | Greek
Όποιος σκάβει τον λάκκο του άλλου πέφτει ο ίδιος μέσα (opoios skavei ton lakko tou allou peftei o idios mesa) | Greek
Τα μάτια σου δεκατέσσερα (ta matia sou dekatessera) | Greek
Χτυπάω δυο μύγες με ένα σμπάρο (chtypao dyo myges me ena sparo) | Greek
Το μήλο κάτω από τη μηλιά θα πέσει (to milo kato apo ti milia tha pesei) | Greek

---

## Hungarian

A falnak is füle van | Hungarian
Addig nyújtózkodj, ameddig a takaród ér | Hungarian
Aki másnak vermet ás, maga esik bele | Hungarian
Borban az igazság | Hungarian
Egy fecske nem csinál nyarat | Hungarian
Jobb későn, mint soha | Hungarian
Ki mint vet, úgy arat | Hungarian
Lassan járj, tovább érsz | Hungarian
Nem mind arany, ami fénylik | Hungarian
Sok lúd disznót győz | Hungarian
Több szem többet lát | Hungarian
Amilyen az adjonisten, olyan a fogadjisten | Hungarian

---

## Romanian

A da din colț în colț | Romanian
A face din țânțar armăsar | Romanian
A nu vinde pielea ursului din pădure | Romanian
A tăia frunze la câini | Romanian
Câinele care latră nu mușcă | Romanian
Ce ți-e scris, în frunte ți-e pus | Romanian
Cine aleargă după doi iepuri nu prinde niciunul | Romanian
Cine sapă groapa altuia cade singur în ea | Romanian
Mai bine târziu decât niciodată | Romanian
Mărul nu cade departe de pom | Romanian
Nu tot ce zboară se mănâncă | Romanian
Ochii care nu se văd se uită | Romanian
Unde-i lege nu-i tocmeală | Romanian

---

## Portuguese (European)

Quem não tem cão caça com gato | Portuguese
Grão a grão enche a galinha o papo | Portuguese
Cão que ladra não morde | Portuguese
De pequenino se torce o pepino | Portuguese
Quem semeia ventos colhe tempestades | Portuguese
A cavalo dado não se olha o dente | Portuguese
Mais vale um pássaro na mão do que dois a voar | Portuguese
Quem tudo quer tudo perde | Portuguese
Devagar se vai ao longe | Portuguese

---

## Catalan

Qui no vulgui pols que no vagi a l'era | Catalan
Val més tard que mai | Catalan
Una oreneta no fa estiu | Catalan
Qui fa un cove fa un cistell | Catalan
A cavall regalat no li miris el dentat | Catalan
Gat escaldat d'aigua freda tem | Catalan

---

## Galician

Quen non ten can, caza con gato | Galician
Máis vale tarde que nunca | Galician
A cabalo regalado non lle mires o dente | Galician

---

## Basque

Otso zaharrak ezin du ikasi | Basque
Gau euria, egun eguzkia | Basque
Gauzak berez datoz dakienari | Basque

---

## Welsh

Dyfal donc a dyr y garreg | Welsh
Gorau Cymro, Cymro oddi cartref | Welsh
Cenedl heb iaith, cenedl heb galon | Welsh

---

## Irish (Gaelic)

Is fearr Gaeilge briste ná Béarla cliste | Irish
Ní neart go cur le chéile | Irish
Mol an óige agus tiocfaidh sí | Irish
Is binn béal ina thost | Irish
Ní hé lá na gaoithe lá na scolb | Irish

---

## Scottish Gaelic

Is fheàrr an t-olc a tha thu eòlach air na an t-olc nach eil thu eòlach air | Scottish Gaelic
Cha deach càil riamh ann an amar tana | Scottish Gaelic

---

## Swahili

Haraka haraka haina baraka | Swahili
Asiyefunzwa na mamaye hufunzwa na ulimwengu | Swahili
Haba na haba hujaza kibaba | Swahili
Mgeni siku mbili; siku ya tatu mpe jembe | Swahili
Mtaka unda si mtaka mvua | Swahili
Mwacha mila ni mtumwa | Swahili
Penye nia pana njia | Swahili
Pole pole ndio mwendo | Swahili
Umoja ni nguvu, utengano ni udhaifu | Swahili
Usipoziba ufa, utajenga ukuta | Swahili
Asiye na bahati, hana na shibe | Swahili
Dawa ya moto ni moto | Swahili
Fimbo ya mbali haiui nyoka | Swahili
Kidole kimoja hakivunji chawa | Swahili
Mchagua jembe si mkulima | Swahili

---

## Amharic

ሰው ያልበላው ዳቦ ውሻ ይበላል (sew yalbelaw dabo wusha yibelal) | Amharic
ዶሮ ያስሳ ዕንቁላል ያዞራል (doro yassa inqulal yazoral) | Amharic
ዝንብ ከማር ጋር ይገባል (zinb kemar gar yigebal) | Amharic

---

## Yoruba

Àgbà kì í wà lójà, kí orí ọmọ títún wọ́ | Yoruba
Bí a bá ń pẹ́ni ní olè, a gbọ́dọ̀ dí ìlẹ̀kẹ̀ mu | Yoruba
Igba olorun ki mẹ́ | Yoruba

---

## Zulu

Indlela ibuzwa kwabaphambili | Zulu
Isala kutshelwa sibona ngomopho | Zulu
Ubuhle bendoda zinkomo zayo | Zulu

---

## Thai

กว่าถั่วจะสุกงาก็ไหม้ (kwa tua ja suk nga gor mai) | Thai
ขี่ช้างจับตั๊กแตน (khi chang jap takataen) | Thai
น้ำขึ้นให้รีบตัก (nam khuen hai reep tak) | Thai
ปากหวานก้นเปรี้ยว (pak waan kon priao) | Thai
ช้าๆ ได้พร้าเล่มงาม (cha cha dai pra lem ngam) | Thai
กินปูนร้อนท้อง (kin puun rawn tawng) | Thai
งมเข็มในมหาสมุทร (ngom khem nai maha samut) | Thai
น้ำท่วมทุ่ง ผักบุ้งโหรงเหรง (nam tuam tung pak bung rong reng) | Thai
รำไม่ดีโทษปี่โทษกลอง (ram mai dee toht pee toht klong) | Thai
สิบปากว่าไม่เท่าตาเห็น (sip pak wa mai tao ta hen) | Thai

---

## Vietnamese

Ăn cháo đá bát | Vietnamese
Có công mài sắt có ngày nên kim | Vietnamese
Gần mực thì đen, gần đèn thì sáng | Vietnamese
Một con ngựa đau, cả tàu bỏ cỏ | Vietnamese
Nước đến chân mới nhảy | Vietnamese
Tránh vỏ dưa gặp vỏ dừa | Vietnamese
Cha nào con nấy | Vietnamese
Đục nước béo cò | Vietnamese
Ếch ngồi đáy giếng | Vietnamese
Mưa dầm thấm lâu | Vietnamese
Nuôi ong tay áo | Vietnamese
Trăm hay không bằng tay quen | Vietnamese
Chó cắn áo rách | Vietnamese
Gió chiều nào theo chiều nấy | Vietnamese
Một cây làm chẳng nên non, ba cây chụm lại nên hòn núi cao | Vietnamese
Cái khó bó cái khôn | Vietnamese
Kiến tha lâu cũng đầy tổ | Vietnamese
Thả mồi bắt bóng | Vietnamese

---

## Indonesian / Malay

Ada gula ada semut | Indonesian
Air beriak tanda tak dalam | Indonesian
Bagai air di daun keladi | Indonesian
Besar pasak daripada tiang | Indonesian
Biar lambat asal selamat | Indonesian
Dimana bumi dipijak, di situ langit dijunjung | Indonesian
Gajah di pelupuk mata tak nampak, semut di seberang lautan nampak | Indonesian
Habis manis sepah dibuang | Indonesian
Jauh di mata, dekat di hati | Indonesian
Kalah jadi abu, menang jadi arang | Indonesian
Seperti anjing menggonggong kafilah berlalu | Indonesian
Tak ada gading yang tak retak | Indonesian
Tak kenal maka tak sayang | Indonesian
Sedia payung sebelum hujan | Indonesian
Sepandai-pandai tupai melompat, akhirnya jatuh ke tanah juga | Indonesian
Sekali lancung ke ujian, seumur hidup orang tak percaya | Indonesian
Nasi sudah menjadi bubur | Indonesian
Sambil menyelam minum air | Indonesian
Bagai pinang dibelah dua | Indonesian
Air tenang menghanyutkan | Indonesian

---

## Tagalog / Filipino

Ang hindi marunong lumingon sa pinanggalingan ay hindi makararating sa paroroonan | Tagalog
Aanhin pa ang damo kung patay na ang kabayo | Tagalog
Kapag may tiyaga, may nilaga | Tagalog
Huli man daw at magaling, ay naihahabol din | Tagalog
Kung walang tiyaga, walang nilaga | Tagalog
Mahirap gisingin ang nagtutulog-tulugan | Tagalog
Walang ligaya sa lupa na hindi dinilig ng luha | Tagalog
Ang taong nagigipit, sa patalim kumakapit | Tagalog
Nasa Diyos ang awa, nasa tao ang gawa | Tagalog
Pag may isinuksok, may madudukot | Tagalog

---

## Hebrew

לזרוק אבן ולהחביא את היד (lizrok even ulehakhbi et hayad) | Hebrew
להכניס את הראש בחול (lehakhnis et harosh bakhol) | Hebrew
על טעם ועל ריח אין להתווכח (al taam ve'al reach ein lehitvakeakh) | Hebrew
סוף מעשה במחשבה תחילה (sof ma'ase bemakhshava tekhila) | Hebrew
אל תחשוב את האפרוחים לפני שנולדו (al takhshov et ha'efrochim lifnei she'noldu) | Hebrew
חבל על הזמן (khaval al hazman) | Hebrew
לשבור את הכלים (lishbor et hakelim) | Hebrew
מה שהיה היה (ma she'haya haya) | Hebrew
בין הפטיש לסדן (bein hapatish lasadan) | Hebrew
גמל שרצה קרניים, אזניים שהיו לו חתכו (gamal sheratzah karnayyim, oznayyim shehyu lo khatekhu) | Hebrew

---

## Persian (Farsi)

مرغ همسایه غازه (morgh-e hamsāye ghāze) | Persian
از ماست که بر ماست (az māst ke bar māst) | Persian
هر که بامش بیش، برفش بیشتر (har ke bāmash bish, barfash bishtar) | Persian
جوجه رو آخر پاییز می‌شمرند (juje ro ākhar-e pāyiz mishmorand) | Persian
مار گزیده از ریسمان سیاه و سفید می‌ترسد (mār gazide az rismān-e siyāh-o sefid mitarsad) | Persian
سری که درد نمی‌کند دستمال نمی‌بندند (sari ke dard nemikonad dastmāl nemibandand) | Persian
دیر آید درست آید (dir āyad dorost āyad) | Persian
با یک گل بهار نمی‌شود (bā yek gol bahār nemishavad) | Persian
عجله کار شیطانه (ajale kār-e sheytāne) | Persian
سنگ بزرگ نشانه نزدن است (sang-e bozorg neshāne-ye nazadan ast) | Persian
آب از سرچشمه گل آلوده است (āb az sarcheshme gel ālde ast) | Persian

---

## Urdu

جس کی لاٹھی اس کی بھینس (jis ki lathi us ki bhains) | Urdu
بندر کیا جانے ادرک کا سواد (bandar kya jane adrak ka swad) | Urdu
آنکھ کا اندھا نام نین سکھ (aankh ka andha naam nain sukh) | Urdu
دال میں کچھ کالا ہے (daal mein kuch kala hai) | Urdu
اللہ دے تو چھپر پھاڑ کے دے (allah de toh chappar phaar ke de) | Urdu
نو دو گیارہ ہونا (nau do gyarah hona) | Urdu

---

## Bengali

গাছে কাঁঠাল গোঁফে তেল (gache kanthal gophe tel) | Bengali
নাচতে না জানলে উঠান বাঁকা (nachte na janle uthan banka) | Bengali
চোরের মায়ের বড়ো গলা (chorer mayer boro gola) | Bengali
অল্প বিদ্যা ভয়ংকরী (olpo bidya bhoyongkori) | Bengali
যত গর্জে তত বর্ষে না (joto gorje toto borshe na) | Bengali
ঘুমন্ত সিংহকে জাগিও না (ghumonto singhoke jagio na) | Bengali
ফুলের সাথে কাঁটাও আসে (fuler shathe kantao ashe) | Bengali

---

## Punjabi

ਜਿਹੜੇ ਘਰ ਦੀ ਮੁਰਗੀ ਦਾਲ ਬਰਾਬਰ (jihde ghar di murgi dal barabar) | Punjabi
ਬਾਂਦਰ ਕੀ ਜਾਣੇ ਅਦਰਕ ਦਾ ਸਵਾਦ (bandar ki jaane adrak da swaad) | Punjabi
ਅੰਨ੍ਹਿਆਂ ਵਿਚ ਕਾਣਾ ਰਾਜਾ (annhian vich kaana raja) | Punjabi

---

## Tamil

ஆறிலும் சாவு நூறிலும் சாவு (aarilum saavu noorilum saavu) | Tamil
கற்றது கைமண் அளவு, கல்லாதது உலகளவு (katradu kaimann alavu, kalladadu ulagalavu) | Tamil
விளையாடும் பிள்ளைக்கு வீடு இடிக்குமா (vilaiyaadum pillaiku veedu idikkuma) | Tamil

---

## Telugu

ఆకలి రుచి ఎరుగదు (aakali ruchi erugadu) | Telugu
ఊరక రాదు ఊర వాడ (ooraka raadu oora vaada) | Telugu
కష్టం లేకుండా ఫలం లేదు (kashtam lekunda phalam ledu) | Telugu

---

## Kannada

ಹಸಿವಿಗೆ ಅನ್ನ, ಬಡವನಿಗೆ ಹೊನ್ನ (hasivige anna, badavanige honna) | Kannada
ಕಾಗೆ ಕುಳಿತರೆ ತೆಂಗಿನಕಾಯಿ ಬಿತ್ತು (kaage kuLitare tenginakayi bittu) | Kannada

---

## Gujarati

વાંદરાને શું ખબર અદરક નો સ્વાદ (vaandrane shu khabar adrak no swaad) | Gujarati
જ્યાં ચાહ ત્યાં રાહ (jya chah tya raah) | Gujarati

---

## Marathi

चोराच्या उलट्या बोंबा (chorachya ultatya bomba) | Marathi
शंभर सुनारांची एक लोहाराची (shambhar sunaranchi ek loharachi) | Marathi
बुडत्याला काडीचा आधार (budtyala kadichaa adhaar) | Marathi

---

## Nepali

जुन गोरुको सिंग छैन उसैले अगाडि हान्छ (jun goruko sing chhaina usaile agadi haanchha) | Nepali
बानी परेको बाघले पनि मान्छे खान्छ (bani pareko baghle pani manchhe khanchha) | Nepali

---

## Sinhala

කකුළුවන් දෙන්නා උගුරු ගසන්නේ එකිනෙකාට (kakuluwan denna uguru gasanne ekinekato) | Sinhala
බැල්ලිට වෙඩි (bellita vedi) | Sinhala

---

## Burmese

ကြက်တိုက်ရာကြက်ရှင်းရာ (kyet taik ya kyet shin ya) | Burmese
ခြေကုန်လက်ပန်း (chay gon let pan) | Burmese

---

## Khmer

ដើរឡើងម្ដង ដើរចុះម្ដង (daer laeng mdang, daer choh mdang) | Khmer
ស្រមោលមាន់រត់មិនពេញបាច (sramaol moan rot min penh bach) | Khmer

---

## Lao

ກິນບໍ່ໝົດ ລ້ຽງບໍ່ແລ້ວ (kin bo mot liang bo laew) | Lao
ຊ້າໆ ໄດ້ພ້າແລ້ວງາມ (sa sa dai pha laew ngam) | Lao

---

## Mongolian

Хүний нүдэн дэх шороог харж, өөрийнхөө нүдэн дэх модыг харахгүй | Mongolian
Нэг хүний хорлолоор мянган хүн ухаарна | Mongolian

---

## Tibetan

སེམས་ཀྱི་སྲིད་པ་མགོ་ནས་གཏོར (sem kyi si pa go ne tor) | Tibetan

---

## Georgian

თევზი თავიდან ყარს (tevzi tavidant qars) | Georgian
გზა გამვლელს ეკუთვნის (gza gamvlels ekutvnis) | Georgian

---

## Armenian

Ձdelays delays ուdelays (Gayluh gaylov galis) | Armenian
Ջուրը մաdelays delays delays (Jureh maknits antsav) | Armenian

---

## Hausa

Gaskiya ta fi kwabo | Hausa
Hankuri maganin duniya | Hausa
Ruwanka da kai ba ruwan kowa ba | Hausa

---

## Igbo

Otu onye tụọ izu, ọ gbaa ya n'ukwu | Igbo
Egbe bere ugo bere, nke si ibe ya ebena nku kwaa ya | Igbo

---

## Somali

Aqoon la'aan waa iftiin la'aan | Somali
Nin is yaqaan baa nin yaqaan la odhan | Somali

---

## Afrikaans

Elke donker wolk het 'n silwer randjie | Afrikaans
Die appel val nie ver van die boom nie | Afrikaans
Alle wegen lei na Rome | Afrikaans
Beter laat as nooit | Afrikaans
Die oë is groter as die maag | Afrikaans
Haastige hond brand sy mond | Afrikaans

---

## Icelandic

Blindur er bóklaus maður | Icelandic
Kemur dagur eftir nótt | Icelandic
Margur verður af aurum api | Icelandic
Betra er að koma seint en aldrei | Icelandic

---

## Estonian

Kes teisele auku kaevab, see ise sisse kukub | Estonian
Hommik on õhtust targem | Estonian
Parem hiljem kui mitte kunagi | Estonian
Üheksa korda mõõda, üks kord lõika | Estonian

---

## Latvian

Ar labu vārdu tālu tiksi | Latvian
Labāk vēlu nekā nekad | Latvian
Kas citam bedri rok, pats iekrīt | Latvian
Rīta stunda zelta stunda | Latvian

---

## Lithuanian

Atsargumas gėdos nedaro | Lithuanian
Geriau vėliau negu niekados | Lithuanian
Kas kitam duobę kasa, pats įkrinta | Lithuanian
Vienas lauke ne karys | Lithuanian
Ryto valanda aukso verta | Lithuanian

---

## Albanian

Goja ha bukë, goja ha shuplaka | Albanian
